Year,Player,Position,Team,Salary,Length of Contract,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP_1,PER,TS%,eFG%,FTr,3PAr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48
2009-2010,John Salmons,Guard,Sacramento Kings,"$8,000,000",5,30,81,56,34.9,5.4,12.2,0.441,1.5,3.8,0.382,3.9,8.4,0.468,3.1,3.8,0.83,0.4,2.9,3.3,2.8,1.2,0.3,1.5,2,15.4,2824,14.7,0.553,0.501,0.308,0.312,1.4,9.4,5.4,12.9,1.8,0.7,9.9,19.9,110,106,3.7,3.4,7.1,0.121
2012-2013,Carl Landry,Forward,Sacramento Kings,"$6,500,000",4,29,81,2,23.2,4,7.4,0.54,0,0,0.333,4,7.4,0.541,2.8,3.4,0.817,2.2,3.7,6,0.8,0.4,0.4,1.4,2.3,10.8,1876,17.5,0.605,0.541,0.453,0.005,10.9,17.3,14.2,5.6,0.9,1.3,13.7,20,116,106,4.3,1.9,6.2,0.159
2010-2011,Chuck Hayes,Center,Sacramento Kings,"$5,250,000",4,27,74,63,28.1,3.3,6.3,0.527,0,0,0,3.3,6.2,0.529,1.3,1.9,0.662,3,5.1,8.1,2.7,1.1,0.7,1.2,2.7,7.9,2079,16.2,0.554,0.527,0.307,0.004,11.9,20.7,16.3,14.3,1.9,1.6,14.1,13,120,106,3.9,2.4,6.3,0.146
2011-2012,Jason Thompson,Forward,Sacramento Kings,"$5,250,000",5,25,64,47,25.9,3.7,6.9,0.535,0,0,0,3.7,6.9,0.537,1.7,2.8,0.602,2.6,4.3,6.9,1.2,0.7,0.7,1.1,2.3,9.1,1657,16.4,0.558,0.535,0.409,0.005,10.5,19.3,14.7,7.5,1.3,1.9,11.5,15.5,115,109,3.1,0.8,3.9,0.114
2010-2011,Travis Outlaw,Forward,Sacramento Kings,"$3,000,000",4,26,82,55,28.8,3.3,8.9,0.375,0.9,3.1,0.302,2.4,5.8,0.413,1.6,2.1,0.772,0.7,3.3,4,1,0.4,0.4,0.9,1.8,9.2,2358,8.8,0.469,0.427,0.234,0.345,2.6,14,8.1,5.8,0.8,1.2,8.1,17.3,97,112,-0.4,1.2,0.8,0.016
2010-2011,Hamady N'Diaye,Center,Sacramento Kings,"$884,293",1,24,16,0,5,0.3,0.3,0.8,0,0,0,0.3,0.3,0.8,0.4,0.8,0.5,0.1,0.3,0.4,0,0.1,0.3,0.2,1.1,0.9,80,5.3,0.681,0.8,2.4,0,2.8,7.4,5,0,1.3,4.8,22.6,7.3,107,111,0,0,0.1,0.046
2009-2010,LaMarcus Aldridge,Forward,Portland Trail Blazers,"$10,744,000",5,24,78,78,37.5,7.4,15,0.495,0.1,0.2,0.313,7.4,14.8,0.498,2.9,3.9,0.757,2.5,5.6,8,2.1,0.9,0.6,1.3,3,17.9,2922,18.2,0.535,0.497,0.26,0.014,8.1,18.6,13.3,9.9,1.3,1.3,7.4,22.9,113,107,5.5,3.3,8.8,0.145
2011-2012,Nicolas Batum,Forward,Portland Trail Blazers,"$10,450,000",4,23,59,34,30.4,4.9,10.9,0.451,1.8,4.6,0.391,3.1,6.2,0.496,2.3,2.7,0.836,1.4,3.2,4.6,1.4,1,1,1.5,1.8,13.9,1791,17.3,0.575,0.534,0.248,0.427,5.2,12.6,8.8,7.9,1.7,2.6,11.2,20.5,112,107,3.3,1.4,4.8,0.127
2009-2010,Wesley Matthews,Guard,Portland Trail Blazers,"$4,627,000",5,23,82,48,24.7,3.3,6.9,0.483,0.8,2,0.382,2.6,4.9,0.525,2,2.4,0.829,0.6,1.7,2.3,1.5,0.8,0.2,1.1,1.9,9.4,2025,12.3,0.592,0.539,0.342,0.292,3,8,5.6,9,1.6,0.6,12.5,16.5,113,108,2.6,1.9,4.6,0.108
2011-2012,Robin Lopez,Center,Portland Trail Blazers,"$4,899,293",3,23,64,0,14,1.9,4.2,0.461,0,0,0,1.9,4.2,0.461,1.6,2.2,0.714,1.4,1.9,3.3,0.3,0.3,0.9,0.7,2,5.4,895,15.2,0.526,0.461,0.52,0,11.5,14.8,13.2,3.4,1,4.8,11.5,18.9,108,105,1.2,0.9,2.1,0.115
